,Unnamed: 0,tweet,favorite_count,retweet_count,mention_count,id,mention_total_follower_count,quote_retweet_count,quote_mention_count,cleaned_text,cleaned_text_no_stopwords,sentiment,named_entities,matches,clean_text_no_stopwords_str,cosine_similarity
7627,7627,So grateful to the @newseditors driving transformational change and exchanging best practices today at #TableStakes. Special thanks to @terabithia4 and @jroxann @ampress @pamfine @lasharah @poynter @unc and @knightfdn-@lenfestinst teams. #ONA19,14,0,10,1171916720627490816,0,,0,so grateful to the driving transformational change and exchanging best practices today at special thanks to and and teams ,"['grateful', 'driving', 'transformational', 'change', 'exchanging', 'best', 'practice', 'today', 'special', 'thanks', 'team']",positive,"[('today', 'DATE')]",1,grateful driving transformational change exchanging best practice today special thanks team,0.03464366020285026
7613,7613,Its Awesome! Just arrived by Uber to the new venue for tonight’s #0NA19 Opening Reception! Mardi Gras World 1380 Port of New Orleans Place! https://t.co/re8fELuMfr,6,0,0,1172288861654831105,0,,0,its awesome just arrived by uber to the new venue for tonights opening reception mardi gras world 1380 port of new orleans place ,"['awesome', 'arrived', 'uber', 'new', 'venue', 'tonight', 'opening', 'reception', 'mardi', 'gras', 'world', '1380', 'port', 'new', 'orleans', 'place']",positive,"[('tonight', 'TIME'), ('1380', 'DATE'), ('new orleans place', 'GPE')]",1,awesome arrived uber new venue tonight opening reception mardi gras world 1380 port new orleans place,0.05110870896659382
1605,1605,@FatSnowflakes We think Myers is pawdorable in his new box. He really knows how to find the best places to purrlax! What other activities does Myers enjoy? 😻,1,0,1,1577616288993914881,12,,0, we think myers is pawdorable in his new box he really knows how to find the best places to purrlax what other activities does myers enjoy ,"['think', 'myers', 'pawdorable', 'new', 'box', 'really', 'know', 'find', 'best', 'place', 'purrlax', 'activity', 'myers', 'enjoy']",positive,[],2,think myers pawdorable new box really know find best place purrlax activity myers enjoy,0.0808762240018557
1113,1113,@caitlinspersona We love this feedback! We always strive to deliver the best service possible. Happy Holidays! 😀,1,0,1,1602305599773052928,0,,0, we love this feedback we always strive to deliver the best service possible happy holidays ,"['love', 'feedback', 'always', 'strive', 'deliver', 'best', 'service', 'possible', 'happy', 'holiday']",positive,[],2,love feedback always strive deliver best service possible happy holiday,0.12840577383960275
1110,1110,@tobach03 We're happy to hear that you're enjoying your new device! Happy holidays! 🎄,1,0,1,1602328295822999552,0,,0, were happy to hear that youre enjoying your new device happy holidays ,"['happy', 'hear', 'youre', 'enjoying', 'new', 'device', 'happy', 'holiday']",positive,[],1,happy hear youre enjoying new device happy holiday,0.09576169793538075
1645,1645,@MissAll03037454 We're so happy to hear this. The very best of luck to you in your new position. 🍎,1,0,0,1574690370482487297,0,,0, were so happy to hear this the very best of luck to you in your new position ,"['happy', 'hear', 'best', 'luck', 'new', 'position']",positive,[],1,happy hear best luck new position,0.05792034006095962
15446,15446,"@BeckyboosA Hi, you can check the status of the stations here:https://t.co/lYt6exZbky However, it is always best to check before you travel. Thanks, MK.",0,0,1,1603919226384912384,0,,0, hi you can check the status of the stations here however it is always best to check before you travel thanks mk,"['hi', 'check', 'status', 'station', 'however', 'always', 'best', 'check', 'travel', 'thanks', 'mk']",positive,[],1,hi check status station however always best check travel thanks mk,0.038344572446661326
15416,15416,"@Geraldi31348001 Hi Geraldine. For all Christmas travel advice, please check before you travel using the TfL website: https://t.co/NmAEZja8Fi
TfL Go App: https://t.co/FpGmQcpa2n
Thanks.^GG",0,0,1,1604119870576021505,0,,0, hi geraldine for all christmas travel advice please check before you travel using the tfl website tfl go app thanksgg,"['hi', 'geraldine', 'christmas', 'travel', 'advice', 'please', 'check', 'travel', 'using', 'tfl', 'website', 'tfl', 'go', 'app', 'thanksgg']",positive,"[('christmas', 'DATE'), ('tfl', 'CARDINAL')]",1,hi geraldine christmas travel advice please check travel using tfl website tfl go app thanksgg,0.034870904013383976
15406,15406,"@melissaxmorgan Hello Melissa, there are no planned disruptions on this route. Please check before you travel using the TfL website: https://t.co/DCSaEYU7ww 
TfL Go App: https://t.co/FpGmQc7zaP
Thanks. ^GG",0,0,1,1604162734475677699,0,,0, hello melissa there are no planned disruptions on this route please check before you travel using the tfl website tfl go app thanks gg,"['hello', 'melissa', 'planned', 'disruption', 'route', 'please', 'check', 'travel', 'using', 'tfl', 'website', 'tfl', 'go', 'app', 'thanks', 'gg']",positive,"[('melissa', 'PERSON'), ('tfl', 'CARDINAL')]",1,hello melissa planned disruption route please check travel using tfl website tfl go app thanks gg,0.033398761009547744
15419,15419,"@fensommd Hi Michael, the night Tube is currently running on the Central, Jubilee, Northern, Piccadilly and Victoria lines. For all travel advice, please check before you travel using the TfL website: https://t.co/MU2G12JYiV
TfL Go App: https://t.co/FpGmQc7zaP
Thanks. ^GG",0,0,1,1604112521018974208,0,,0, hi michael the night tube is currently running on the central jubilee northern piccadilly and victoria lines for all travel advice please check before you travel using the tfl website tfl go app thanks gg,"['hi', 'michael', 'night', 'tube', 'currently', 'running', 'central', 'jubilee', 'northern', 'piccadilly', 'victoria', 'line', 'travel', 'advice', 'please', 'check', 'travel', 'using', 'tfl', 'website', 'tfl', 'go', 'app', 'thanks', 'gg']",positive,"[('michael night', 'PERSON'), ('tfl', 'CARDINAL')]",1,hi michael night tube currently running central jubilee northern piccadilly victoria line travel advice please check travel using tfl website tfl go app thanks gg,0.025013804913015875
